지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
115,울릉도독도(감),2022-06-29,421.35
115,울릉도독도(감),2022-06-30,421.34
115,울릉도독도(감),2022-07-01,421.34
115,울릉도독도(감),2022-07-02,421.33
115,울릉도독도(감),2022-07-03,421.32
115,울릉도독도(감),2022-07-04,421.3
115,울릉도독도(감),2022-07-05,421.28
115,울릉도독도(감),2022-07-06,421.27
115,울릉도독도(감),2022-07-07,421.24
115,울릉도독도(감),2022-07-08,421.21
115,울릉도독도(감),2022-07-09,421.17
115,울릉도독도(감),2022-07-10,421.13
115,울릉도독도(감),2022-07-11,421.08
115,울릉도독도(감),2022-07-12,421.03
115,울릉도독도(감),2022-07-13,420.96
115,울릉도독도(감),2022-07-14,420.89
115,울릉도독도(감),2022-07-15,420.81
115,울릉도독도(감),2022-07-16,420.72
115,울릉도독도(감),2022-07-17,420.62
115,울릉도독도(감),2022-07-18,420.52
115,울릉도독도(감),2022-07-19,420.4
115,울릉도독도(감),2022-07-20,420.27
115,울릉도독도(감),2022-07-21,420.13
115,울릉도독도(감),2022-07-22,419.99
115,울릉도독도(감),2022-07-23,419.84
115,울릉도독도(감),2022-07-24,419.68
115,울릉도독도(감),2022-07-25,419.5
115,울릉도독도(감),2022-07-26,419.32
115,울릉도독도(감),2022-07-27,419.13
115,울릉도독도(감),2022-07-28,418.93
115,울릉도독도(감),2022-07-29,418.73
115,울릉도독도(감),2022-07-30,418.51
115,울릉도독도(감),2022-07-31,418.29
115,울릉도독도(감),2022-08-01,418.07
115,울릉도독도(감),2022-08-02,417.83
115,울릉도독도(감),2022-08-03,417.6
115,울릉도독도(감),2022-08-04,417.35
115,울릉도독도(감),2022-08-05,417.11
115,울릉도독도(감),2022-08-06,416.86
115,울릉도독도(감),2022-08-07,416.61
115,울릉도독도(감),2022-08-08,416.35
115,울릉도독도(감),2022-08-09,416.1
115,울릉도독도(감),2022-08-10,415.85
115,울릉도독도(감),2022-08-11,415.6
115,울릉도독도(감),2022-08-12,415.35
115,울릉도독도(감),2022-08-13,415.1
115,울릉도독도(감),2022-08-14,414.86
115,울릉도독도(감),2022-08-15,414.62
115,울릉도독도(감),2022-08-16,414.39
115,울릉도독도(감),2022-08-17,414.16
115,울릉도독도(감),2022-08-18,413.95
115,울릉도독도(감),2022-08-19,413.74
115,울릉도독도(감),2022-08-20,413.54
115,울릉도독도(감),2022-08-21,413.35
115,울릉도독도(감),2022-08-22,413.17
115,울릉도독도(감),2022-08-23,413
115,울릉도독도(감),2022-08-24,412.85
115,울릉도독도(감),2022-08-25,412.7
115,울릉도독도(감),2022-08-26,412.58
115,울릉도독도(감),2022-08-27,412.46
115,울릉도독도(감),2022-08-28,412.36
115,울릉도독도(감),2022-08-29,412.27
115,울릉도독도(감),2022-08-30,412.21
115,울릉도독도(감),2022-08-31,412.15
115,울릉도독도(감),2022-09-01,412.12
115,울릉도독도(감),2022-09-02,412.09
115,울릉도독도(감),2022-09-03,412.09
115,울릉도독도(감),2022-09-04,412.09
115,울릉도독도(감),2022-09-05,412.13
115,울릉도독도(감),2022-09-06,412.17
115,울릉도독도(감),2022-09-07,412.23
115,울릉도독도(감),2022-09-08,412.31
115,울릉도독도(감),2022-09-09,412.41
115,울릉도독도(감),2022-09-10,412.51
115,울릉도독도(감),2022-09-11,412.64
115,울릉도독도(감),2022-09-12,412.77
115,울릉도독도(감),2022-09-13,412.94
115,울릉도독도(감),2022-09-14,413.1
115,울릉도독도(감),2022-09-15,413.29
115,울릉도독도(감),2022-09-16,413.48
115,울릉도독도(감),2022-09-17,413.69
115,울릉도독도(감),2022-09-18,413.91
115,울릉도독도(감),2022-09-19,414.14
115,울릉도독도(감),2022-09-20,414.38
115,울릉도독도(감),2022-09-21,414.64
115,울릉도독도(감),2022-09-22,414.89
115,울릉도독도(감),2022-09-23,415.16
115,울릉도독도(감),2022-09-24,415.44
115,울릉도독도(감),2022-09-25,415.72
115,울릉도독도(감),2022-09-26,416
115,울릉도독도(감),2022-09-27,416.3
115,울릉도독도(감),2022-09-28,416.59
115,울릉도독도(감),2022-09-29,416.89
115,울릉도독도(감),2022-09-30,417.19
115,울릉도독도(감),2022-10-01,417.49
115,울릉도독도(감),2022-10-02,417.79
115,울릉도독도(감),2022-10-03,418.09
115,울릉도독도(감),2022-10-04,418.39
115,울릉도독도(감),2022-10-05,418.69
115,울릉도독도(감),2022-10-06,418.98
115,울릉도독도(감),2022-10-07,419.27
115,울릉도독도(감),2022-10-08,419.56
115,울릉도독도(감),2022-10-09,419.84
115,울릉도독도(감),2022-10-10,420.11
115,울릉도독도(감),2022-10-11,420.38
115,울릉도독도(감),2022-10-12,420.65
115,울릉도독도(감),2022-10-13,420.9
115,울릉도독도(감),2022-10-14,421.15
115,울릉도독도(감),2022-10-15,421.38
115,울릉도독도(감),2022-10-16,421.62
115,울릉도독도(감),2022-10-17,421.84
115,울릉도독도(감),2022-10-18,422.05
115,울릉도독도(감),2022-10-19,422.25
115,울릉도독도(감),2022-10-20,422.45
115,울릉도독도(감),2022-10-21,422.63
115,울릉도독도(감),2022-10-22,422.8
115,울릉도독도(감),2022-10-23,422.96
115,울릉도독도(감),2022-10-24,423.12
115,울릉도독도(감),2022-10-25,423.26
115,울릉도독도(감),2022-10-26,423.4
115,울릉도독도(감),2022-10-27,423.52
115,울릉도독도(감),2022-10-28,423.64
115,울릉도독도(감),2022-10-29,423.74
